th,en
และทั้งซอกนิ้วรวมถึงนิ้วโป้ง,and in between fingers and thumbs
และรอบ ๆ ทั้งสองมือ,and round and round both hands
ล้างสบู่ออกโดยให้น้ำเปล่าไหลผ่าน,Rinse all the soap off under clean running water. 
หากเป็นไปได้ ให้ใช้น้ำอุ่น,Use warm water if available
ทำมือให้แห้งไม่ต่ำกว่า 20 วินาที,Dry your hands all over for 20 seconds
ใช้ผ้าเช็ดมือจะดีที่สุด (หากอยู่ที่บ้านให้ใช้ผ้าแห้งที่สะอาด),"Using a paper towel is best (or, if at home, a clean dry towel)"
ควรล้างมือและทำมือให้แห้งบ่อย ๆ,Always wash and dry your hands
กินหรือเตรียมอาหาร,Eating or preparing food
จาม ไอ หรือสั่งน้ำมูก (หรือการเช็ดจมูกเด็ก),"Sneezing, coughing or blowing your nose (or wiping children's noses)"
ทำสวน (หรือเล่นนอกบ้านกับเด็ก),Gardening (or playing outside for children)
สัมผัสสัตว์,Having contact with animals
การเข้าห้องน้ำหรือการเปลี่ยนผ้าอ้อม,Going to the toilet or changing nappies
ดูแลผู้ป่วย,Looking after sick people
ในเดือนกุมภาพันธ์ 2020 ประเทศจีนได้อนุมัติการใช้ยา Favilavir สำหรับรักษา Covid-19,"In February 2020, China has approved the use of Favilavir for the treatment of COVID-19"
รวมถึงยาอื่น ๆ เช่น antiretroviral therapy (lopinavir และ Ritonavir) มักถูกใช้ร่วมกันเพื่อนต่อต้านไข้หวัดและไข้มาเลเลีย,"Also, many drugs such as antiretroviral therapy (lopinavir with Ritonavir) are used in combination with anti-influenza, anti-malarial drugs"
พบว่ายา Remdesivir มีประสิทธิภาพในการรักษาสัตว์ที่ติดโรค Sars และ Mers,Remdesivir has been found to be effective in vitro and in animals infected with SARS and MERS
ทั้งหมดนี้ยังต้องการการวิจัยเพื่อยืนยันผลการรักษา,All of this still requires further research to confirm reliable treatment results. 
สำหรับการรักษานั้น แนะนำให้ไปยังโรงพยาบาลและให้แพทย์ทำการรักษา,"For treatment, it is advisable to only be hospitalized by a professional doctor"
เพื่อให้การรักษามีประสิทธิภาพสูงสุดและลดภาวะอันตรายจากผลข้างเคียงของยา,To fully achieve therapeutic effects and prevent dangerous side effects from medication 
สิ่งเหล่านี้สามารถช่วยลดความเสี่ยงของคุณและคนรอบตัวจากการติดเชื้อไวรัสโคโรนา,There are things you can do to help reduce the risk of you and anyone you live with getting ill with coronavirus.
ล้างมือด้วยสบู่บ่อย ๆ,wash your hands with soap and water often
ไม่ต่ำกว่า 20 วินาที,do this for at least 20 seconds
ใช้เจลฆ่าเชื้อในกรณีที่ไม่มีสบู่,use hand sanitiser gel if soap and water are not available
ล้างมือทันทีที่กลับถึงบ้าน,wash your hands as soon as you get back home
ปิดปากและจมูกด้วยทิชชู่หรือแขนเสือ (ไม่ควรใช้มือ) หากไอหรือจาม,cover your mouth and nose with a tissue or your sleeve (not your hands) when you cough or sneeze
ทิ้งกระดาษทิชชู่ลงถังขยะและล้างมือทันที,put used tissues in the bin immediately and wash your hands afterwards
ห้ามสัมผัสตา จมูก หรือ ปาก หากยังไม่ได้ล้างมือ,"do not touch your eyes, nose or mouth if your hands are not clean"
ตั้งแต่วันที่ 24 มีนาคม แนะนำให้ผู้ปกครองดูแลบุตรหลานที่บ้าน,"From Tuesday 24 March, parents are encouraged to keep their children at home. "
จะไม่มีการไล่บุตรหลานท่านออกจากโรงเรียน,No child will be turned away from school.
นักเรียนหรือคณาจารย์ที่มีการเดินทางไปต่างประเทศภายใน 14 วันก่อนหน้าควรกักตัวเองเป็นระยะเวลา 14 วันหลังจากกลับมา,Any student or staff member who over the last 14 days has been overseas should be in self-isolation for 14 days after they returned
พวกเขาควรถูกแยกจากโรงเรียนและไม่ควรกลับไปยังโรงเรียนหรือสถานดูแลเด็กเป็นระยะเวลาไม่ต่ำกว่า 14 วันนับจากวันที่กลับมา,"They are excluded from school and should not return to school or child care services for a period of 14 days after arriving, "
เนื่องจาก Covid-19 มีระยะเวลาฟักเชื้อยาวนานกว่า 2 อาทิตย์,as the COVID-19 incubation period can be as long as two weeks
คณาจารย์และนักเรียนที่พบว่าใกล้ชิดกับผู้ที่ถูกวินิจฉัยว่าเป็น Covid-19 จะต้องกักตัวเองที่บ้าน,"Staff and students who have been identified as close contacts of a person diagnosed with COVID-19 during their infectious period must also self-isolate at home, "
และไม่ควรไปยังโรงเรียนหรือสถานรับเลี้ยงเด็กไม่ต่ำกว่า 14 วัน นับจากวันที่ใกล้ชิดกับผู้ป่วย,and should not attend school or childcare settings until 14 days after their last contact with the infected person.
กรุณางดการแสดงความกังวลบนสื่น social ทุกชนิด,Please do not discuss anyone you have concerns about via any type of social media.
มันอาจสร้างปัญหาให้แก่สังคมและความเป็นอยู่ของผู้คน มันไม่มีผลดีใด ๆ,This can be damaging to the community and people’s wellbeing and has no positive outcomes
หลาย ๆ คน มีปัญหาด้านสุขภาพซึ่งไม่เกี่ยวข้องใด ๆ กับความเสี่ยงของ Covid-19,Many people may have a range of health issues that are in no way related to a risk of Covid-19.
จนถึงวันนี้ยังไม่มีวัคซีนหรือยาต้านไวรัสที่สามารถป้องกันหรือรักษา Covid-2019,"To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019"
อย่างไรก็ตาม ผู้ติดเชื้อควรได้รบการรักษาตามอาการ,"However, those affected should receive care to relieve symptoms."
ผู้ที่ป่วยหนักควรเข้ารับการรักษาที่โรงพยาบาล,People with serious illness should be hospitalized.
ผู้ป่วยส่วนใหญ่หายได้จากการรักษาดังกล่าว,Most patients recover thanks to supportive care
วัคซีนและยากำลังถูกคิดค้น,Possible vaccines and some specific drug treatments are under investigation
มันกำลังถูกทดลองรักษา,They are being tested through clinical trials.
WHO กำลังร่วมมือกันสร้างวัคซีนและยาสำหรับป้องกันและรักษา Covid-19,WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19.
รัฐบาลไทยได้กำหนดให้มีการคัดกรองและกักตัวเพื่อลดการแพร่ระบาดของ Covid-19,The Royal Thai Government (RTG) has implemented enhanced screening and quarantine measures to reduce the spread of COVID-19
นักเดินทางควรเตรียมพร้อมสำหรับการจำกัดการเดินทางโดยอาจไม่มีการแจ้งให้ทราบล่วงหน้า,Travelers should be prepared for travel restrictions to be put into effect with little or no advance notice
ประชาชนจากสหรัฐอเมริกาที่มีความประสงค์จะเดินทางกลับประเทศควรตรวจสอบกับสายการบินเพื่อทำการจองเที่ยวบินล่วงหน้า,U.S. citizens who are considering returning to the United States are urged to work with their airlines to make travel arrangements while flights are still available.
การนับการกักตัว 14 วันนั้น เริ่มนับวันที่ 1 จากวันที่มาถึง ไม่ใช่วันที่ออกจากพื้นที่เสี่ยง,"The 14 day period begins with Day 1 on the day of entry into Thailand, not the day of departure from the high-risk area. "
ในระยะเวลากักตัว 14 วันนี้ เราแนะนำให้ท่านทำตามข้อปฏิบัติของรัฐเพื่อลดการสัมผัสกับผู้อื่น หลีกเลี่ยงจากพื้นที่คับคั่งให้มากที่สุด เช่น ขนส่งมวลชน ห้างสรรพสินค้า หลีกเลี่ยงการสนทนากับผู้อื่น,"During this 14 day self quarantine period, we advise you to follow the government guidance to minimise contact with people and stay away from busy places such as public transport and shopping centres. As far as possible, avoid face to face contact with anyone from community."
หากอุณหภูมิของท่านสูงกว่า 38 องศา กรุณาอยู่บ้านและปฏิบัติตามคำแนะนำของบุคลากรทางการแพทย์,"If your temperature is 38 degrees or higher, please stay at home and seek medical advice"
หากอุณหภูมิของท่านเพิ่มขึ้นในสถานศึกษา ควรหาทางส่งตัวท่านสู่บ้านอย่างปลอดภัย,"If your temperature becomes elevated in school, the necessary arrangements will be made to have you sent home safely."
ถ้าท่านไม่ได้เดินทางไปหยั่งสถานที่ ๆ มีความเสี่ยงสูง ท่านจะได้กลับมาสถานศึกษาใหม่เมื่อท่านหายดีและมีหนังสือรับรองแพทย์ที่น่าเชื่อถือ,"If you have not travelled to the high risk areas, you will be able to return to school when you are fully recovered and are able to bring a note of good health from a reputable doctor."
กรุณาละลึกไว้เสมอว่าการมีไข้เป็นอาการเบื้องต้นของการป่วยได้หลายชนิด,Please remember that a high temperature may be a symptom of a number of illnesses
ไม่ได้หมายความว่าการมีไข้จะต้องป่วยเป็น Covid-19 เสมอไป,there is no reason to assume that a temperature is caused by the Covid-19 virus.
หากคุณตั้งครรภ์และเป็นกังวลเรื่องไวรัสโคโรนา คุณสามารถขอคำปรึกษาได้จาก Royal College of Obstretricians and Gynaecologists.,"If you're pregnant and worried about coronavirus, you can get advice about coronavirus and pregnancy from the Royal College of Obstretricians and Gynaecologists."
เพื่อให้คุณแข็งแรงในขณะที่อยู่บ้าน,To help yourself stay well while you're at home
พูดคุยกับเพื่อหรือครอบครัวผ่านทางโทรศัพท์หรือสื่อ Social,stay in touch with family and friends over the phone or on social media
ทำตัวเองให้ยุ่งเสมอ,try to keep yourself busy
คุณอาจลองทำกิจกรรมต่าง ๆ เช่น ทำอาหาร อ่านหนังสือ เรียนออนไลน์ หรือ ดูหนัง,"you could try activities like cooking, reading, online learning and watching films"
ออกกำลังกายแบบเบา ๆ ที่บ้าน หรือ กลางแจ้ง วันละครั้ง,"do light exercise at home, or outside once a day"
หากคุณต้องการความช่วยเหลือด้านสาธารณะสุข หลีกเลี่ยงการไปยังสถานพยาบาล ร้านขายยา หรือ โรงพยาบาล,"If you need medical help for any reason, do not go to places like a GP surgery, pharmacy or hospital."
หากคุณมีอาการของไวรัสโคโรนา (มีไข้ ไอต่อเนื่อง) โทร 111 สายด่วนไวรัสโคโรนา,"If you have symptoms of coronavirus (a high temperature or a new, continuous cough), use the 111 coronavirus service."
หากคุณต้องการคำแนะนำเรื่องที่ไม่เกี่ยวกับไวรัสโคโรนา,If you need help or advice not related to coronavirus
สำหรับข้อมูลเกี่ยวกับสุขภาพ ไปที่เว็บไซต์ของ NHS หรือ เว็บไซท์สถานพยาบาลนั้น ๆ,"for health information and advice, use the NHS website or your GP surgery website"
สำหรับความช่วยเหลือฉุกเฉิน ใช้บริการออนไลน์ 111 ของ NHS - โทร 111 เฉพาะเมื่อคุณไม่สามารถขอความช่วยเหลือออนไลน์ได้,"for urgent medical help, use the NHS 111 online service – only call 111 if you're unable to get help online"
สำหรับเหตุฉุกเฉินด้านสุขภาพอื่น ๆ โทร 999 เพื่อเรียกรถพยาบาล,"for life-threatening emergencies, call 999 for an ambulance"
อ่านคำแนะนำเกี่ยวกับเรื่องสุขภาพจากที่บ้าน,Read more advice about getting medical help at home
ไม่ ใครก็ตามที่เดินทางกลับมาจากสถานที่หรือประเทศ ๆ มีความเสี่ยงสูง ควรกักตัวเองไม่น้อยกว่า 14 วันและไม่ควรไปโรงเรียน,No. Anyone who had travelled to high-risk countries/areas should be quarantined for 14 days and should not visit the school premises.
ตามคำแนะนำของกระทรวงศึกษาแห่งประเทศไทย,According to the directive by the Ministry of Education of Thailand
ทุกคนที่เคยอาศัยร่วมด้วยจะต้องถูกกักตัว 14 วัน นับจากวันที่มาถึงประเทศไทย,all residents who live in the same household must be placed on a 14-day quarantine starting from the day of arrival to Thailand
หากพวกเขาเคยไปยังพื้นที่/ประเทศกลุ่มเสี่ยงดังต่อไปนี้,if they have visited the following high-risk countries/areas
ทุกคนที่เคยอาศัยร่วมด้วยจะต้องมีหนังสืออนุญาตเดินทางหากเป็นการเดินทางระหว่างประเทศ,All those who live in the same household will need to complete a travel declaration form if they are travelling overseas
ใช่ กรุณาดูข้อกำหนดที่ออกในวันที่ 28 กุมภาพันธ์ 2020 โดยกระทรวงศึกษาธิการประเทศไทย,"Yes. Please refer to the following directive issued by the Ministry of Education of Thailand on February 28, 2020."
ในกรณีจ้าวพนักงาน ครู และบุคคลากรภายในกระทรวงศึกษาธิการ นักเรียน และ นักศึกษาภายใต้กระทรวงศึกษามีบุคคลในครอบครัวเดินทางกลับมาจากพื้นที่เสี่ยงหรือมีการใกล้ชิดกับผู้ต้องสงสัยว่าจะติดเชื้อ ห้ามบุคคลนั้นไปเรียนหรือไปทำงานและให้กักตัวอยู่ที่บ้านอย่างน้อย 14 วัน,"In case that the government officers, teachers and educational personnel, officers under the Ministry of Education and all divisions, students in all schools and universities under the Ministry of Education have family members returned from at-risk countries or have had close contact with those who are suspected to be an infected case, they must not attend class or not go to work for 14-day self-quarantine at home"
เริ่มบังคับใช้ตั้งแต่วันที่ 28 กุมภาพันธ์ 2020 ทุกคนภายใต้กฏดังกล่าวจะต้องกักตัว 14 วัน,"With effect from February 28th, 2020, any personnel which falls under the directive above will need to be quarantined for 14 days. "
"ค่าใช้จ่ายในการตรวจยืนยันแตกต่างกันสำหรับแต่ละโรงพยาบาล ตั้งแต่ 2,500 - 13,000 บาท เนื่องจากค่าใช้จ่ายในการจัดการความเสี่ยงของบุคลากรและค่าคนส่ง","The cost of laboratory confirmation is different for each public and private hospital, from 2,500 - 13,000 baht due to the cost of personnel protection in accordance with the risk level of the client, the sample transportation cost"
เนื่องจากบางโรงพยาบาลไม่มีแลบสำหรับทดสอบ,Because some hospitals do not perform self-tests
มีผลการศึกษาจากประเทศจีน,There is a study report in China
ตรวจพบการติดเชื้อโดยใช้เครื่อง RT-PCR หลังจากได้รับการรักษา,The infection was detected by RT-PCR again after receiving treatment
ไม่มีการพบเชื้อระหว่างการตรวจทั้งสองครั้งซึ่งห่างกัน 48 ชั่วโมง,"no infection was found at least 2 times apart, 48 hours apart"
อย่างไรก็ตาม ผลการศึกษายังไม่พอที่จะยืนยันว่าผลบวกของ RT-PCR หมายถึงการติดเชื้อ เนื่องจากการทดสอบ RT-PCR ไม่ได้ใช้สำหรับตรวจสอบการติดเชื้อ,"However, more studies have yet to be found that the positive RT-PCR results Means the patient is infected because RT-PCR is a test that does not indicate infection."
นอกจากนั้น ผู้ป่วยที่ตรวจนั้นไม่แสดงอาการอย่างอื่น,"In addition, patients who have detected the infection do not show symptoms"
โดยทั่วไปแล้ว ผู้ป่วยจากเชื้อไวรัสเมื่อหายแล้วจะมีภูมิคุ้มกันสูงพอจะป้องกันโรคนั้นได้อีกหลายเดือน,"In general, general viral infection Patients who recover from the disease build immunity that is high enough to prevent the disease for many months"
จากข้อมูลของ Thai PBS ค่าใช้จ่ายอาจแตกต่างกันในแต่ละโรงพยาบาลสำหรับแต่ละบุคคล ดูได้ที่นี่,"According to information obtained by Thai PBS, the charges made for an individual to be tested for COVID-19 infection vary from hospital to hospital available here"
ในปัจจุบันยังไม่มีหลักฐานการระบาดทางอากาศ,There is currently no strong evidence of the transmission as airborne
การติดเชื้อจะติดผ่านละอองที่มีของเหลวเป็นภาหะ,"Is a diffusion, also known as aerosol, that is to get infected through the aerosol that is diffused by a nebulizer"
การได้รับเชื้อโดยหลักมาจากละอองน้ำลาย ไอ หรือมือที่สัมผัสถูกพื้นผิวที่มีเชื้อและเข้าสู่ร่างกายผ่านเนื้อเยื่ออ่อนทางการขยี้ตาหรือการแคะจมูก,"The main contact is also close to the aura, cough or hand touch the contaminated surface and then brought to the body through rubbing eyes soft tissue or nose picking (Mucosa)"
สมุนไพรบางชนิดได้รับการยืนยันผ่านกรมการแพทย์แผนไทยและการแพทย์ทางเลือกสำหรับรักษาหวัดเช่น andrographis paniculata ,"Herbal medicine such as andrographis paniculata, an herbal medicine recommended by the Department of Thai Traditional Medicine and Alternative Medicine to treat colds"
Covid-19 เป็นไวรัสในกลุ่มโคโรนา ไม่ใช่กลุ่มไข้หวัดทั่วไป,"COVID-19 is a virus in the corona virus group, not influenza virus"
ข้อมูลเกี่ยวกับการเดินทางจากสถานฑูตไทย หาได้ที่นี่,Travel information from Thailand Embassy: available here
Covid-19 สามารถกระจายผ่านทางสิ่งของที่มีเชื้อ,COVID-19 can spread through contaminated items
มันสามารถมีชีวิตอยู่ได้หลายวันหากไม่ได้ทำความสะอาด,Can last for many days without cleaning
ยกตัวอย่างเช่น อุปกรณ์ต่างๆ ในพื้นที่สาธารณะ เช่น ลูกบิดประตู มือจับประตู ฝักบัว ราว รถสาธารณะ,"For example, various devices Used in public areas such as door knobs and door handles, faucets, handrails, public vehicles"
ยังมีบางครั้งอาจได้รับเชื้อจากการจับโทรศัพท์มือถือ,"In addition, there may be tarnish through the hand and then hold the mobile phone"
ถ้าใช้มือสัมผัสวัตถุนั้น ๆ แล้วสัมผัสบริเวณหน้า,If using hands to touch an object and then touch the face area
จับอาหารเข้าปาก,picking food into the mouth 
สามารถติดเชื้อได้ไม่ต่างจากการได้รับโดยตรงจากผู้ติดเชื้อ,Can be infected as well as direct contact from patients
ควรทำความสะอาดพื้นผิวที่อาจมีเชื้อโรคอย่างละเอียดบ่อย ๆ และ ล้างมือบ่อย ๆ,Should be careful Cleaning the surface that may be contaminated frequently And wash hands frequently
ข่าวล่าสุดเกี่ยวกับไวรัสโคโรนารายวันรวมถึงข้อมูลเกี่ยวกับจำนวนผู้ป่วย มีอยู่ที่นี่,The latest coronavirus news updated every day including coronavirus cases: available here
ยังไม่มีรายงานเกี่ยวกับการติดเชื้อจากสระว่ายน้ำ,There is currently no reported infection from swimming in the pool. 
หรือจากแหล่งน้ำ อย่างไรก็ตาม ควรหลีกเลี่ยงจากสระว่ายน้ำที่มีคนเยอะ,Or other water sources But should avoid a crowded pool
นี่คือแหล่งข่าวเกี่ยวกับ Covid-19 ในพื้นที่ของคุณ,Here is up-to-the-minute news about COVID-19 in your area:
จำนวนผู้ป่วย Covid-19 ล่าสุดในประเทศไทย,Latest count of COVID-19 cases in Thailand
ข่าวด่วนล่าสุดจาก BangkokPost,Latest breaking news on BangkokPost
ข้อมูลเกี่ยวกับการได้รับการตรวจสอบในประเทศไทย,Information about getting tested in Thailand
จากข้อแนะนำของ WHO หน้ากากทางการแพทย์สามารถลดอัตราการติดเชื้อได้,"Based on WHO guideline, standard medical grade mask can significantly reduce infection rate"
อย่างไรก็ตาม มันมีสิ่งที่ควรรู้มากกว่านั้น กรุณาอ่านคำแนะนำของ WHO เกี่ยวกับเรื่องนี้,"However, there is a lot more to that. Please read WHO guideline for this"
กดที่นี่เพื่ออ่านเพิ่มเติม,click here to find our more
หากคุณกลับมาจากพื้นที่ ๆ มีการระบาดอย่างกว้างขวางระหว่างคนสู่คน (ระดับ 3 ควรระมัดระวังสุขภาพในการเดินทางเข้าสู่ประเทศ),"If you are returning from an area with widespread, ongoing community spread (Level 3 Travel Health Notice countries)"
อยู่บ้าน 14 วัน นับจากวันที่คุณออกมา และ อยู่ห่างจากบุคคลอื่น ๆ,stay home for 14 days from the time you left and practice social distancing
ดูที่นี่เกี่ยวกับการแจ้งเตือนความเสี่ยงด้านสุขภาพจากการเดินทางจาก CDC,See the latest the CDC Travel Health Notices here
ขึ้นอยู่กับสถานการณ์ของคุณ คุณอาจเลื่อนหรือยกเลิกแผนนั้น,"Depending on your unique circumstances, you may choose to delay or cancel your plans"
ถ้าคุณตัดสินใจเดินทาง ควรมั่นใจว่าคุณระมัดระวังในการติดเชื้อหรือแพร่เชื้อ Covid-19 และโรคทางเดินหายใจอื่น ๆ ในระหว่างเดินทาง,"If you do decide to travel, be sure to practice precautions to prevent getting and spreading COVID-19 and other respiratory diseases during travel"
สำหรับข้อมูลสำหรับการเดินทางล่าสุดสืบเนื่องจาก Covid-19 ดูได้ที่หน้าของ CDC Covid-19,"For the most up-to-date COVID-19 travel information, visit CDC COVID-19 Travel page"
รับรู้ข้อเท็จจริงเกี่ยวกับการระบาดของไวรัสโคโรนา 2019 (Covid-19) และช่วยหยุดการกระจายข่าวลือ,Know the facts about coronavirus disease 2019 (COVID-19) and help stop the spread of rumors.
ไปที่เว็บไซท์นี้เพื่อดูข้อมูลล่าสุดเกี่ยวกับสถานการณ์ Covid-19 จาก CDC,Go to this web site for the latest update on the COVID-19 situation from the CDC
พบปัญหาบางอย่าง ไม่สามารถดึงข้อมูลยอดผู้ป่วยได้,"Internal error, cannot retrieve case count"
เว็บดังต่อไปนี้มีข้อมูลยอดผู้ป่วย Covid-19 ที่ได้รับการยืนยันแล้วในประเทศไทย,The following web page contains the latest number of confirmed Covid-19 patients in Thailand.
คลิกที่นี่เพื่อดูข้อมูลเพิ่มเติมจาก Cognos Analytics,Click here to find our more from Cognos Analytics
ติดตามคำแนะนำการเดินทางจาก CDC,Follow the CDC's guidelines for all travel
คุณสามารถหาข้อมูลคำแนะนำการเดินทางในแต่ละประเทศได้จากแผนที่ประเมินความเสี่ยงของการแพร่ระบาด Covid-19 ได้ที่นี่,You can find travel recommendations by country as well as a Geographic Risk Assessment map for COVID-19 transmission here
อาการของ Covid-19 มักปรากฎภายใน 2-14 วันหลังจากได้รับเชื้อไวรัส,Symptoms for Covid-19 typically appear 2-14 days after contracting the virus
คุณควรติดต่อสถานพยาบาลหรือผู้เชี่ยวชาญเมื่อคุณมีอาการเริ่มมีอาการ,You should contact your healthcare professional at the first sign of symptoms
การแพร่ระบาดไปทั่วโลกและไม่สามารถนับหรือติดตามได้ง่ายๆ เรียกว่า pandemic,A pandemic is an outbreak that has spread globally and can not be easily tracked or contained.
CDC มีข้อมูลเพิ่มเติมเกี่ยวกับว่าทำไม Covid-19 ถึงเป็นโรคระบาดทั่วโลกและมีผลกระทบอย่างไรบนเว็บไซท์,The CDC has more information on why Covid-19 is a pandemic and what that means on their web site
เนื่องจากสถานการณ์ของไวรัสโคโรนาหรือ Covid-19,Due to the ongoing impact of coronavirus/COVID-19.
ดูเว็บเพจของสถานฑูตสหรัฐอเมริกาเกี่ยวกับสถานะของ Covid-19,Visit US Embassy in Thailand webpages on COVID-19 for information on conditions
CDC แนะนำให้สวมหน้ากากผ้าในที่สาธารณะในสถานที่ ๆ การเว้นระยะห่างจากคนอื่นเป็นไปได้ยาก,The CDC recommends wearing a cloth face covering in public settings where social distancing may be difficult to maintain
สำหรับข้อมูลเกี่ยวหน้ากากผ้าและข้อแนะนำในการป้องกันตัวเองจากผู้อื่นหาอ่านได้ที่เว็บไซท์ของ CDC,For more information on face coverings and general guidance on protecting yourself and others please visit the CDC web site. 
เจ้าหน้าที่สาธารณะสุขที่ดูแลผู้ต้องสงสัยติดเชื้อ Covid-19 จำเป็นต้องสวมหน้ากาเพื่อป้องกันการระบาดของเชื้อ Covid-19,Healthcare workers caring for patients suspected to have Covid-19 also need to wear face-masks to prevent additional spread of Covid-19.
หากคุณมีหน้ากาก N95 หรือหน้ากากผ่าตัดเหลือ กรุณาบริจาคได้ที่โรงพยาบาลต่าง ๆ,"If you have a surplus of N95 masks or surgical masks, consider donating them to a local hospital"
การเว้นระยะห่างจากผู้อื่นหมายถึงการพยายามเว้นระยะอย่างน้อย 6 ฟุตจากผู้อื่น,Social distancing generally means remaining and managing a minimum of six feet of separation between people
การเว้นระยะแบบนี้ช่วยป้องกันคุณจากการได้รับเชื้อจากการไอหรือจาม,Keeping this distance helps prevent droplets created by sneezing and coughing from reaching you
ยังมีวิธีการอื่น ๆ - เช่นการล้างมือด้วยสบู่บ่อย ๆ เพื่อลดความเสี่ยงในการกระจายเชื้อในแหล่งชุมชน,"There are other actions - like washing your hands with soap frequently, you can take to reduce the risk of possible exposure in the community."
คุณต้องการฟังต่อไหม ?,Would you like to hear more ?
วันนี้ สำนักงานการบินพลเรือนแห่งประเทศไทย ประกาศยืดการห้ามบินเข้าประเทศออกไปถึง 30 เมษายน 2020,"Today, the Civil Aviation Authority of Thailand (CAAT) announced the extension until 30 April 2020 of the ban on incoming international flights"
การยืดเวลาออกไปน่าจะทำให้เที่ยวบินขาออกลดจำนวนลงในอนาคต ,The extension will likely mean a further reduction in outgoing international flights in the days ahead
"ในวันที่ 7 เมษายน 2020 กระทรวงดิจิตอลเศรษฐกิจและสังคม ร่วมมือกับ สำนักงานส่งเสริมเศรษฐกิจดิจิทัล IBM และ Ecardstudio เปิดใช้งานโปรแกรมมือถือชื่อ ""Card2U""","On 7 April 2020, the Ministry of Digital Economy and Society, in cooperation with Digital Economy Promotion Agency (DEPA), IBM, and Ecartstudio, launched a new mobile application called “Card2U,” "
ซึ่งให้ข้อมูลล่าสุดเกี่ยวกับ Covid-19,which provides real time information on COVID-19. 
โปรแกรมมือถือนี้เสนอข้อมูลล่าสุดเกี่ยวกับการระบาด Covid-19 ได้แก่พื้นที่ระบาด การประเมินความเสี่ยงก่อนพบแพทย์ รายการโรงพยาบาลที่รับตรวจ Covid-19 สายด่วน และอื่น ๆ,"This mobile application offers updated official information to help the public cope with the COVID-19 outbreak, such as, infected areas, risk assessment before testing, lists of hospital for COVID-19 examination, hotlines, etc. "
โปรแกรมนี้มีให้ดาวน์โหลดใน App Store และ Play Store,The application is now available for download from the Apple App Store and Play Store.
ผู้ใช้ใหม่ทุกคนจำเป็นต้องลงทะเบียนโดยใช้บัตรดิจิตอลเพื่อเข้าถึงข่าวและบริการเกี่ยวกับ Covid-19,All new users are required to register for a digital card which is needed for access to the latest news and services related to COVID-19. 
กระทรวงสาธารณะสุข และกรมควบคุมโรค ได้มีคำแนะนำเพื่อความปลอดภัยสำหรับคุณและคนรอบตัวและเพื่อลดผลกระทบต่อสังคมและเศรษฐกิจ,"Ministry of Public Health (MoPH) & Department of Disease Control recommends for your safety and for others, and to decrease negative social and economic impacts. "
พื้นที่ติดเชื้อรวมถึงประเทศจีน (รวมถึงมาเก๊าและฮ่องกง) เกาหลีใต้ อีหร่าน อิตาลี,"The Disease Infected Zones were determined to include the People’s Republic of China (including Special Administrative Regions Macau and Hong Kong), South Korea, Iran and Italy:"
ดูที่นี่สำหรับการตรวจ Covid-19 ในประเทศไทย,Look here to find out about getting tested for COVID-19 in Thailand
สำหรับเคอร์ฟิวเรื่องไวรัสโคโรนาล่าสุดในประเทศไทย,For the latest coronavirus curfew update in Thailand
ดูวิดีโอจากองค์การอนามัยโลกเพื่อเรียนรู้เกี่ยวกับ Covid-19 ได้ทันที,Watch this video from the World Health Organization to learn what we know about COVID-19 right now
แนะนำให้ควรทานอาหารปรุงสุก หากเป็นไปได้ทานทันทีหลังปรุงเสร็จ,"It's advised to eat well cooked food, preferable immediately after cooked. "
วัตถุดิบนั้นอาจมีหรือไม่มีเชื้อไวรัสปนเปือ้นทั้งก่อนหรือหลังปรุงอาหาร,The material itself may or may not be safe but the virus may contaminated it before or after cook. 
อาหารปรุงสุกหมายถึงอาหารที่ได้รับความร้อนในปริมาณที่เหมาะสมเป็นเวลานานพอสมควร,Well cooked food mean a food that is heated to some considerable amount of temperature to some period of time. 
ยกตัวอย่างเช่น แกง สเต็กสุก ปลาทอดกรอบ,"For example: curry soup, well done steak, deep fried fish."
เราปิดในวันอาทิตย์,We are closed on Sunday
เราปิดในวันเสาร์,We are closed on Saturday
จาก 10 โมงเช้า ถึง 2 ทุ่ม,from 10am until 8pm
เราเปิดบริการ,We are open
เวลาทำการ,regular hours
11 โมงเช้าถึง 6 โมงเย็น,11am to 6pm
เราทำการตลอด 24 ชั่วโมง 7 วัน เพื่อให้คุณได้รับข่าวสารสำคัญเพื่อป้องกันตนเองจากสถานการณ์ Covid-19,We are available 24/7 to provide you with critical information to protect yourself during the COVID-19 crisis.
สวัสดียามเช้า,Hello. Good morning
สวัสดียามบ่าย,Hello. Good afternoon
สวัสดียามเย็น,Hello. Good evening
เจอกันอีก,So long
เจอกันใหม่,See ya
ลาก่อน,Good bye
ยินดีให้บริการ บอกฉันได้หากต้องการอะไรอย่างอื่นอีก,You're welcome. Just let me know if you need anything else
ไม่มีปัญหา บอกฉันได้หากต้องการอะไรอย่างอื่นอีก,No problem. Just let me know if you need anything else
ด้วยความยินดี บอกฉันได้หากต้องการอะไรอย่างอื่นอีก,My pleasure. Just let me know if you need anything else
คุณต้องการคุยกับตัวแทนไหม ?,Would you like me to transfer you to a representative?
โอเค กำลังโอนไปอยู่,OK. Transferring... 
